CountyFull,State,County,1953,1954,1955,1956,1957,1958,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,StateX,StateY,CountyX,CountyY,countyfull2,trimmed
Antrim  MI,MI,Antrim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"Antrim, MI",Antrim
Appling  GA,GA,Appling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,3,1,0,-86.8444977,32.7569008,-82.2890015,-82.2890015,"Appling, GA",Appling
Arenac  MI,MI,Arenac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"Arenac, MI",Arenac
Ashe  NC,NC,Ashe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,2,1,0,0,0,1,0,0,0,2,0,0,0,0,1,0,-83.4271011,32.6385994,-81.5005035,-81.5005035,"Ashe, NC",Ashe
Atkinson  GA,GA,Atkinson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,2,1,0,-86.8444977,32.7569008,-82.8799973,-82.8799973,"Atkinson, GA",Atkinson
Autauga  AL,AL,Autauga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,2,0,0,1,1,0,2,0,0,0,1,0,3,0,0,-80.8646011,33.8778992,-86.6427002,-86.6427002,"Autauga, AL",Autauga
Avery  NC,NC,Avery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,2,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,-83.4271011,32.6385994,-81.9225998,-81.9225998,"Avery, NC",Avery
Bacon  GA,GA,Bacon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,2,1,0,-86.8444977,32.7569008,-82.4526978,-82.4526978,"Bacon, GA",Bacon
Baker  FL,FL,Baker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,2,2,0,0,0,3,1,0,1,2,1,0,0,1,0,0,0,2,2,0,0,-79.1308975,35.526001,-82.2845993,-82.2845993,"Baker, FL",Baker
Baker  GA,GA,Baker,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,4,1,0,-86.8444977,32.7569008,-84.4447021,-84.4447021,"Baker, GA",Baker
