CountyFull,State,County,1953,1954,1956,1965,1968,1971,1973,1974,1975,1978,1980,1984,1988,1989,1992,1993,1994,1995,1997,2000,2017,2019,StateX,StateY,CountyX,CountyY,countyfull2,trimmed
Coffee  TN,TN,Coffee ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-85.2906036,37.5265999,-86.0747986,-86.0747986,"Coffee, TN",Coffee
Colbert  AL,AL,Colbert ,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80.8646011,33.8778992,-87.8050003,-87.8050003,"Colbert, AL",Colbert
Collier  FL,FL,Collier ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-79.1308975,35.526001,-81.3809967,-81.3809967,"Collier, FL",Collier
Colquitt  GA,GA,Colquitt ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-86.8444977,32.7569008,-83.7687988,-83.7687988,"Colquitt, GA",Colquitt
Columbia  FL,FL,Columbia ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-79.1308975,35.526001,-82.6214981,-82.6214981,"Columbia, FL",Columbia
Cook  GA,GA,Cook ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-86.8444977,32.7569008,-83.4304962,-83.4304962,"Cook, GA",Cook
Coweta  GA,GA,Coweta ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-86.8444977,32.7569008,-84.7633972,-84.7633972,"Coweta, GA",Coweta
Crawford  GA,GA,Crawford ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-86.8444977,32.7569008,-83.9862976,-83.9862976,"Crawford, GA",Crawford
Crisp  GA,GA,Crisp ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,-86.8444977,32.7569008,-83.7680969,-83.7680969,"Crisp, GA",Crisp
Crittenden  KY,KY,Crittenden ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-89.6533966,32.7128983,-88.0971985,-88.0971985,"Crittenden, KY",Crittenden
Cullman  AL,AL,Cullman ,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80.8646011,33.8778992,-86.8675995,-86.8675995,"Cullman, AL",Cullman
Cumberland  KY,KY,Cumberland ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-89.6533966,32.7128983,-85.3884964,-85.3884964,"Cumberland, KY",Cumberland
Cumberland  NC,NC,Cumberland ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-83.4271011,32.6385994,-78.8275986,-78.8275986,"Cumberland, NC",Cumberland
Cumberland  TN,TN,Cumberland ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-85.2906036,37.5265999,-84.9983978,-84.9983978,"Cumberland, TN",Cumberland
