CountyFull,State,County,1972,1977,1978,1993,1994,1996,1999,2000,2004,2015,StateX,StateY,CountyX,CountyY,countyfull2,trimmed
Christian  KY,KY,Christian ,0,0,0,0,1,1,0,0,0,0,-89.6533966,32.7128983,-87.4904022,-87.4904022,"Christian, KY",Christian
Claiborne  TN,TN,Claiborne ,0,0,0,1,0,0,0,0,0,0,-85.2906036,37.5265999,-83.6604004,-83.6604004,"Claiborne, TN",Claiborne
Clare  MI,MI,Clare ,0,0,1,0,0,0,0,1,0,0,,,,,"Clare, MI",Clare
Clark  KY,KY,Clark ,0,0,0,1,1,1,0,0,0,1,-89.6533966,32.7128983,-84.1473999,-84.1473999,"Clark, KY",Clark
Clarke  AL,AL,Clarke ,0,0,0,1,0,0,0,0,0,0,-80.8646011,33.8778992,-87.8308029,-87.8308029,"Clarke, AL",Clarke
Clay  AL,AL,Clay ,0,0,0,1,0,0,0,0,0,0,-80.8646011,33.8778992,-85.8604965,-85.8604965,"Clay, AL",Clay
Clay  KY,KY,Clay ,0,0,0,1,1,1,0,0,0,0,-89.6533966,32.7128983,-83.7146988,-83.7146988,"Clay, KY",Clay
Clay  NC,NC,Clay ,0,0,0,1,0,0,0,0,0,0,-83.4271011,32.6385994,-83.7501984,-83.7501984,"Clay, NC",Clay
Clay  TN,TN,Clay ,0,0,0,1,0,0,0,0,0,0,-85.2906036,37.5265999,-85.5438995,-85.5438995,"Clay, TN",Clay
Clayton  GA,GA,Clayton ,0,0,0,1,0,0,0,0,0,0,-86.8444977,32.7569008,-84.3576965,-84.3576965,"Clayton, GA",Clayton
Cleburne  AL,AL,Cleburne ,0,0,0,1,0,0,0,0,0,0,-80.8646011,33.8778992,-85.5187988,-85.5187988,"Cleburne, AL",Cleburne
Cleveland  NC,NC,Cleveland ,0,1,0,1,0,2,0,0,0,0,-83.4271011,32.6385994,-81.5554962,-81.5554962,"Cleveland, NC",Cleveland
Clinton  KY,KY,Clinton ,0,0,0,1,1,1,0,0,0,0,-89.6533966,32.7128983,-85.1360016,-85.1360016,"Clinton, KY",Clinton
Clinton  MI,MI,Clinton ,1,0,1,0,0,0,0,1,0,0,,,,,"Clinton, MI",Clinton
Cobb  GA,GA,Cobb ,0,0,0,1,0,0,0,0,0,0,-86.8444977,32.7569008,-84.5766983,-84.5766983,"Cobb, GA",Cobb
Cocke  TN,TN,Cocke ,0,0,0,1,0,0,0,0,0,0,-85.2906036,37.5265999,-83.1212006,-83.1212006,"Cocke, TN",Cocke
Coffee  AL,AL,Coffee ,0,0,0,1,0,0,0,0,0,0,-80.8646011,33.8778992,-85.9881973,-85.9881973,"Coffee, AL",Coffee
Coffee  GA,GA,Coffee ,0,0,0,1,0,0,0,0,0,0,-86.8444977,32.7569008,-82.8491974,-82.8491974,"Coffee, GA",Coffee
Coffee  TN,TN,Coffee ,0,0,0,1,0,0,0,0,0,0,-85.2906036,37.5265999,-86.0747986,-86.0747986,"Coffee, TN",Coffee
Colbert  AL,AL,Colbert ,0,0,0,1,0,0,0,0,0,0,-80.8646011,33.8778992,-87.8050003,-87.8050003,"Colbert, AL",Colbert
Colquitt  GA,GA,Colquitt ,0,0,0,1,0,0,0,0,0,0,-86.8444977,32.7569008,-83.7687988,-83.7687988,"Colquitt, GA",Colquitt
Columbus  NC,NC,Columbus ,0,0,0,1,0,0,0,0,0,0,-83.4271011,32.6385994,-78.6549988,-78.6549988,"Columbus, NC",Columbus
Conecuh  AL,AL,Conecuh ,0,0,0,1,0,0,0,0,0,0,-80.8646011,33.8778992,-86.9936981,-86.9936981,"Conecuh, AL",Conecuh
Cook  GA,GA,Cook ,0,0,0,1,0,0,0,0,0,0,-86.8444977,32.7569008,-83.4304962,-83.4304962,"Cook, GA",Cook
Coosa  AL,AL,Coosa ,0,0,0,1,0,0,0,0,0,0,-80.8646011,33.8778992,-86.2477036,-86.2477036,"Coosa, AL",Coosa
Covington  AL,AL,Covington ,0,0,0,1,0,0,0,0,0,0,-80.8646011,33.8778992,-86.4512024,-86.4512024,"Covington, AL",Covington
Craven  NC,NC,Craven ,0,0,0,1,0,0,0,0,0,0,-83.4271011,32.6385994,-77.0820007,-77.0820007,"Craven, NC",Craven
Crawford  GA,GA,Crawford ,0,0,0,1,0,0,0,0,0,0,-86.8444977,32.7569008,-83.9862976,-83.9862976,"Crawford, GA",Crawford
Crawford  MI,MI,Crawford ,0,0,1,0,0,0,1,0,0,0,,,,,"Crawford, MI",Crawford
Crenshaw  AL,AL,Crenshaw ,0,0,0,1,0,0,0,0,0,0,-80.8646011,33.8778992,-86.3134995,-86.3134995,"Crenshaw, AL",Crenshaw
Crittenden  KY,KY,Crittenden ,0,0,0,0,0,1,0,0,1,0,-89.6533966,32.7128983,-88.0971985,-88.0971985,"Crittenden, KY",Crittenden
Cullman  AL,AL,Cullman ,0,0,0,1,0,0,0,0,0,0,-80.8646011,33.8778992,-86.8675995,-86.8675995,"Cullman, AL",Cullman
Cumberland  KY,KY,Cumberland ,0,0,0,1,1,1,0,0,0,0,-89.6533966,32.7128983,-85.3884964,-85.3884964,"Cumberland, KY",Cumberland
Cumberland  TN,TN,Cumberland ,0,0,0,1,0,0,0,0,0,0,-85.2906036,37.5265999,-84.9983978,-84.9983978,"Cumberland, TN",Cumberland
Dade  GA,GA,Dade ,0,0,0,1,0,0,0,0,0,0,-86.8444977,32.7569008,-85.5045013,-85.5045013,"Dade, GA",Dade
Dale  AL,AL,Dale ,0,0,0,1,0,0,0,0,0,0,-80.8646011,33.8778992,-85.6110001,-85.6110001,"Dale, AL",Dale
Dallas  AL,AL,Dallas ,0,0,0,1,0,0,0,0,0,0,-80.8646011,33.8778992,-87.1064987,-87.1064987,"Dallas, AL",Dallas
Dare  NC,NC,Dare ,0,0,0,1,0,0,0,0,0,0,-83.4271011,32.6385994,-75.6852036,-75.6852036,"Dare, NC",Dare
Davidson  NC,NC,Davidson ,0,1,0,1,0,2,0,0,0,0,-83.4271011,32.6385994,-80.2126999,-80.2126999,"Davidson, NC",Davidson
Davie  NC,NC,Davie ,0,1,0,1,0,2,0,0,0,0,-83.4271011,32.6385994,-80.5445023,-80.5445023,"Davie, NC",Davie
Daviess  KY,KY,Daviess ,0,0,0,0,0,1,0,0,0,0,-89.6533966,32.7128983,-87.0871964,-87.0871964,"Daviess, KY",Daviess
Dawson  GA,GA,Dawson ,0,0,0,1,0,0,0,0,0,0,-86.8444977,32.7569008,-84.1706009,-84.1706009,"Dawson, GA",Dawson
DeKalb  AL,AL,DeKalb ,0,0,0,1,0,0,0,0,0,0,-80.8646011,33.8778992,-85.8041,-85.8041,"DeKalb, AL",DeKalb
DeKalb  GA,GA,DeKalb ,0,0,0,1,0,0,0,0,0,0,-86.8444977,32.7569008,-84.2264023,-84.2264023,"DeKalb, GA",DeKalb
DeKalb  TN,TN,DeKalb ,0,0,0,1,0,0,0,0,0,0,-85.2906036,37.5265999,-85.8327026,-85.8327026,"DeKalb, TN",DeKalb
Delta  MI,MI,Delta ,0,0,1,0,0,0,0,0,0,0,,,,,"Delta, MI",Delta
